repeat,sample,opt_obj,upper_bound,lower_bound,total_iterations,exact_iterations,inexact_iterations,total_time,total_time_master,total_time_subproblem_exact,total_time_subproblem_pdl,investments
0,32,15833845.116530396,15833845.116530422,15833845.116530418,96,96,0,1.4440503120422363,0.6423864364624023,0.801663875579834,0,"[60.0, 1.0, 162.0, 2314.0, 38.0, 122.0]"
0,33,18452589.33319558,18452589.333195597,18452589.33319548,97,97,0,1.9416759014129639,1.1224277019500732,0.8192481994628906,0,"[45.0, 1.0, 177.0, 3290.0, 38.0, 245.0]"
0,34,17520820.193474054,17520820.19347406,17520820.19347406,105,105,0,2.0108137130737305,1.1400878429412842,0.8707258701324463,0,"[60.0, 18.0, 163.0, 3120.0, 36.0, 301.0]"
0,35,16250464.717147708,16250464.717147708,16250464.717147708,111,111,0,2.6805942058563232,1.7339003086090088,0.9466938972473145,0,"[24.0, 2.0, 185.0, 2414.0, 37.0, 481.0]"
0,36,16991187.066727255,16991187.06672726,16991187.06672726,100,100,0,2.1691734790802,1.3258945941925049,0.8432788848876953,0,"[52.0, -0.0, 182.0, 2130.0, 40.0, 402.0]"
0,37,17425794.496298473,17425794.496298477,17425794.496298477,112,112,0,2.2694687843322754,1.3206162452697754,0.9488525390625,0,"[40.0, 1.0, 180.0, 2609.0, 40.0, 274.0]"
0,38,16807415.41401359,16807415.41401358,16807415.41401358,97,97,0,1.6363468170166016,0.8172516822814941,0.8190951347351074,0,"[58.0, -0.0, 167.0, 2831.0, 34.0, 243.0]"
0,39,16443770.232125802,16443770.2321258,16443770.2321258,107,107,0,2.132563352584839,1.238030195236206,0.8945331573486328,0,"[37.0, -0.0, 177.0, 2281.0, 40.0, 192.0]"
0,40,17520408.084075555,17520408.084075544,17520408.084075548,97,97,0,1.7100400924682617,0.8804135322570801,0.8296265602111816,0,"[44.0, 3.0, 161.0, 2543.0, 40.0, 176.0]"
0,41,16038164.235844241,16038164.23584424,16038164.23584424,88,88,0,1.5890252590179443,0.8400731086730957,0.7489521503448486,0,"[43.0, -0.0, 158.0, 2780.0, 36.0, 191.0]"
0,42,14657922.124324346,14657922.12432435,14657922.124324348,84,84,0,1.5435104370117188,0.83461594581604,0.7088944911956787,0,"[-0.0, -0.0, 169.0, 2192.0, 34.0, 267.0]"
0,43,16028475.667349039,16028475.667349033,16028475.66734904,102,102,0,1.793644666671753,0.9452385902404785,0.8484060764312744,0,"[46.0, -0.0, 158.0, 2218.0, 36.0, 80.0]"
0,44,15802623.180114852,15802623.180114854,15802623.180114854,94,94,0,1.6483283042907715,0.8554036617279053,0.7929246425628662,0,"[57.0, -0.0, 163.0, 2181.0, 34.0, 75.0]"
