repeat,sample,opt_obj,upper_bound,lower_bound,total_iterations,exact_iterations,inexact_iterations,total_time,total_time_master,total_time_subproblem_exact,total_time_subproblem_pdl,investments
0,56,22869762.527997322,1063225170.9792274,12329233.333333334,19,0,19,0.0692896842956543,0.05232429504394531,0,0.016965389251708984,"[57.0, 5.0, 227.0, 2096.0, 45.0, 24.0]"
0,57,29005885.51427178,641701333.5904675,4266499.999999999,12,0,12,0.03558492660522461,0.02477717399597168,0,0.01080775260925293,"[83.0, -0.0, 242.0, -0.0, 55.0, 9.0]"
0,58,28138677.498737667,839253467.9329082,4038499.999999999,8,0,8,0.02056121826171875,0.01360464096069336,0,0.006956577301025391,"[94.0, 2.0, 230.0, -0.0, 53.0, -0.0]"
0,59,24355663.033161387,778171076.0494276,16997833.333333332,14,0,14,0.03774285316467285,0.025498628616333008,0,0.012244224548339844,"[90.0, -0.0, 235.0, 2995.0, 49.0, -0.0]"
0,60,25298563.24519529,789399660.0700301,18129440.34352825,11,0,11,0.029731273651123047,0.020128488540649414,0,0.009602785110473633,"[92.0, -0.0, 248.0, 1864.0, 48.0, -0.0]"
0,61,26858183.452747744,794915695.051398,17308233.333333336,14,0,14,0.04051494598388672,0.02907562255859375,0,0.011439323425292969,"[83.0, -0.0, 247.0, 3019.0, 50.0, -0.0]"
0,62,25634222.218595367,604092949.5454441,24010400.80117997,10,0,10,0.026309490203857422,0.017310380935668945,0,0.008999109268188477,"[117.0, -0.0, 249.0, -0.0, 40.0, -0.0]"
0,63,26689027.035384685,566264768.1659468,24988157.3092022,13,0,13,0.039769649505615234,0.027775049209594727,0,0.011994600296020508,"[86.0, 1.0, 247.0, -0.0, 48.0, -0.0]"
0,64,28782656.261584196,494387723.3394449,27304419.477944985,18,0,18,0.046843528747558594,0.031085968017578125,0,0.01575756072998047,"[85.0, -0.0, 246.0, -0.0, 50.0, -0.0]"
0,65,31761084.96576832,815910925.5552483,4869666.666666666,10,0,10,0.029919147491455078,0.01978325843811035,0,0.010135889053344727,"[98.0, 9.0, 252.0, -0.0, 63.0, -0.0]"
0,66,29595966.32218412,855232108.9786031,4497166.666666666,9,0,9,0.02455735206604004,0.016733407974243164,0,0.007823944091796875,"[90.0, -0.0, 244.0, -0.0, 58.0, -0.0]"
0,67,29182532.939268067,735190480.7297333,4519166.666666666,9,0,9,0.025439739227294922,0.01782369613647461,0,0.0076160430908203125,"[105.0, -0.0, 246.0, -0.0, 57.0, -0.0]"
0,68,31953416.090164635,623011375.5734917,4896166.666666666,14,0,14,0.03715777397155762,0.025324344635009766,0,0.011833429336547852,"[122.0, -0.0, 249.0, -0.0, 59.0, -0.0]"
0,69,29622795.34574333,774400533.6083074,4546099.999999999,9,0,9,0.02351975440979004,0.01608896255493164,0,0.0074307918548583984,"[99.0, -0.0, 256.0, -0.0, 60.0, -0.0]"
0,70,26241327.328284483,776784699.1980445,4083833.3333333326,10,0,10,0.036553144454956055,0.026671648025512695,0,0.00988149642944336,"[76.0, -0.0, 233.0, -0.0, 54.0, -0.0]"
0,71,21889673.834229067,749257740.7310339,3645833.3333333326,12,0,12,0.0417633056640625,0.030048131942749023,0,0.011715173721313477,"[107.0, -0.0, 205.0, -0.0, 46.0, 0.0]"
0,72,22028181.198306136,760158531.4350849,3415166.666666666,8,0,8,0.02573227882385254,0.017034053802490234,0,0.008698225021362305,"[63.0, -0.0, 186.0, -0.0, 50.0, -0.0]"
1,0,26047087.832061738,399665244.8659435,5025466.666666666,17,0,17,0.05263519287109375,0.03510546684265137,0,0.017529726028442383,"[86.0, 1.0, 254.0, -0.0, 62.0, -0.0]"
1,1,31283421.92228425,668376510.6214556,5137166.666666666,10,0,10,0.025058507919311523,0.016860246658325195,0,0.008198261260986328,"[100.0, -0.0, 234.0, -0.0, 68.0, -0.0]"
1,2,30854735.95156652,866924722.892024,4818499.999999999,8,0,8,0.023841381072998047,0.016999483108520508,0,0.006841897964477539,"[102.0, -0.0, 247.0, -0.0, 61.0, -0.0]"
1,3,31778768.829191282,561966626.1642833,5292000.0,10,0,10,0.02790045738220215,0.01941657066345215,0,0.00848388671875,"[83.0, 12.0, 256.0, -0.0, 70.0, -0.0]"
1,4,33006522.664473403,796466395.1768328,5439566.666666666,9,0,9,0.023186922073364258,0.015117883682250977,0,0.008069038391113281,"[90.0, 14.0, 251.0, -0.0, 73.0, 1.0]"
1,5,34156576.33073264,1067839354.3769487,5121000.0,6,0,6,0.016968965530395508,0.011627197265625,0,0.005341768264770508,"[95.0, -0.0, 252.0, -0.0, 69.0, -0.0]"
1,6,32683277.264786474,673497702.4010063,5503833.333333333,8,0,8,0.02540874481201172,0.017920970916748047,0,0.007487773895263672,"[115.0, -0.0, 260.0, -0.0, 74.0, -0.0]"
1,7,33045526.57953956,563871258.5986657,5812166.666666667,10,0,10,0.03098273277282715,0.021053075790405273,0,0.009929656982421875,"[149.0, 1.0, 249.0, -0.0, 73.0, -0.0]"
1,8,33251283.422663897,800254738.7661867,5207500.0,9,0,9,0.025954484939575195,0.017681598663330078,0,0.008272886276245117,"[76.0, 24.0, 238.0, 2073.0, 70.0, -0.0]"
1,9,29969433.549330022,848208771.0311661,5018666.666666666,9,0,9,0.025146484375,0.016750097274780273,0,0.008396387100219727,"[107.0, -0.0, 249.0, 3461.0, 66.0, -0.0]"
1,10,29335473.39452561,797085165.9934837,4874166.666666666,10,0,10,0.029629945755004883,0.020226001739501953,0,0.00940394401550293,"[88.0, 4.0, 243.0, 3302.0, 64.0, -0.0]"
1,11,27080523.14145828,753673161.3559402,4783500.0,12,0,12,0.034012556076049805,0.02325296401977539,0,0.010759592056274414,"[70.0, 9.0, 251.0, 3260.0, 62.0, -0.0]"
1,12,28335724.44464225,1012126835.6211773,4460266.666666666,10,0,10,0.02678227424621582,0.018419265747070312,0,0.008363008499145508,"[97.0, -0.0, 223.0, 3975.0, 60.0, -0.0]"
1,13,23489222.542684548,860321557.4297686,4062766.666666666,11,0,11,0.03330540657043457,0.024281978607177734,0,0.009023427963256836,"[65.0, 2.0, 226.0, 2659.0, 55.0, 18.0]"
1,14,24537275.69054854,873825266.6564356,4094166.666666666,10,0,10,0.022931337356567383,0.014288902282714844,0,0.008642435073852539,"[72.0, 1.0, 238.0, 3265.0, 55.0, -0.0]"
1,15,23208052.78681407,965218513.0389787,4045366.666666666,10,0,10,0.034178733825683594,0.025223970413208008,0,0.008954763412475586,"[75.0, 1.0, 229.0, 2579.0, 53.0, -0.0]"
1,16,24662755.564500965,855178643.6381389,4315533.333333333,10,0,10,0.030385732650756836,0.020622968673706055,0,0.009762763977050781,"[98.0, -0.0, 223.0, 2531.0, 58.0, -0.0]"
1,17,23558447.156528227,751884711.9738015,4009199.9999999995,12,0,12,0.0450587272644043,0.030125141143798828,0,0.014933586120605469,"[67.0, -0.0, 215.0, 3621.0, 53.0, -0.0]"
1,18,21189248.60992637,639165031.8943303,4182733.3333333326,15,0,15,0.05535078048706055,0.03973507881164551,0,0.015615701675415039,"[65.0, -0.0, 191.0, 2698.0, 52.0, 104.0]"
1,19,20324565.100870986,832216473.4239067,3496933.3333333326,11,0,11,0.04098701477050781,0.030701160430908203,0,0.01028585433959961,"[-0.0, 17.0, 184.0, 2497.0, 46.0, 439.0]"
1,20,18126230.692286234,852003919.2302092,2991299.9999999986,10,0,10,0.03505086898803711,0.026129484176635742,0,0.008921384811401367,"[46.0, 14.0, 171.0, 2306.0, 39.0, 217.0]"
1,21,17353277.912773166,942625118.6660789,3168133.333333332,8,0,8,0.02542567253112793,0.01848006248474121,0,0.006945610046386719,"[62.0, -0.0, 170.0, 2233.0, 40.0, -0.0]"
1,22,17844324.545853395,910591430.8917271,2931333.333333332,6,0,6,0.01935887336730957,0.01432943344116211,0,0.005029439926147461,"[52.0, 3.0, 169.0, 2297.0, 39.0, 35.0]"
1,23,19210399.622772664,877758442.7124254,3364699.9999999986,7,0,7,0.026586532592773438,0.020536184310913086,0,0.0060503482818603516,"[58.0, -0.0, 185.0, 2938.0, 42.0, 101.0]"
1,24,16549886.033973323,1104830317.2229347,8111400.0,19,0,19,0.06949305534362793,0.04892992973327637,0,0.020563125610351562,"[56.0, -0.0, 170.0, 2432.0, 39.0, -0.0]"
1,25,16408315.113327542,774850350.4266696,3012466.666666665,8,0,8,0.028614282608032227,0.02111506462097168,0,0.007499217987060547,"[52.0, 10.0, 162.0, 2391.0, 37.0, 147.0]"
1,26,16210636.112717444,876756078.3201858,2821199.9999999986,6,0,6,0.01900029182434082,0.013640642166137695,0,0.005359649658203125,"[60.0, -0.0, 170.0, 2128.0, 37.0, 129.0]"
1,27,16985094.081602007,784694546.6125158,3111399.999999999,8,0,8,0.029885292053222656,0.021549463272094727,0,0.00833582878112793,"[46.0, 20.0, 165.0, 2637.0, 38.0, 295.0]"
1,28,15428866.189266153,722238835.853278,2963433.333333332,8,0,8,0.027786970138549805,0.019043922424316406,0,0.008743047714233398,"[57.0, -0.0, 176.0, 2300.0, 37.0, 274.0]"
