number,value,datetime_start,datetime_complete,duration,params_batch_size,params_decay,params_hidden_size_factor,params_n_layers,params_primal_lr,state
35,34647.693786489646,2025-05-12 01:27:28.245119,2025-05-12 01:37:08.954727,0 days 00:09:40.709608,4096,0.9804841435664998,37,4,0.0006401730302915484,COMPLETE
36,34646.490285623484,2025-05-12 01:37:08.956444,2025-05-12 01:49:54.396592,0 days 00:12:45.440148,2048,0.9981582306425548,7,3,0.0009048390247463774,COMPLETE
37,34646.825262176455,2025-05-12 01:49:54.398910,2025-05-12 02:04:13.374754,0 days 00:14:18.975844,4096,0.9854005581991642,21,4,0.0007309822843855293,COMPLETE
38,34633.218972521936,2025-05-12 02:04:13.376528,2025-05-12 02:25:19.616952,0 days 00:21:06.240424,2048,0.995513834454578,36,2,0.0008007014832189705,COMPLETE
39,34662.91577060411,2025-05-12 02:25:19.619431,2025-05-12 02:43:23.683322,0 days 00:18:04.063891,2048,0.9954684234847374,36,4,0.0009760455991438879,PRUNED
40,34632.85960813843,2025-05-12 02:43:23.684565,2025-05-12 03:07:45.188781,0 days 00:24:21.504216,2048,0.9968466070245311,42,3,0.0008299036322990767,COMPLETE
41,34633.568796636886,2025-05-12 03:07:45.191469,2025-05-12 03:13:07.191781,0 days 00:05:22.000312,2048,0.9969680580650709,41,3,0.0008075444930641273,COMPLETE
42,34646.44611876984,2025-05-12 03:13:07.193002,2025-05-12 03:35:05.705817,0 days 00:21:58.512815,2048,0.9945552447771654,44,2,0.0007640724738198585,COMPLETE
43,34652.07199934369,2025-05-12 03:35:05.708436,2025-05-12 03:51:52.659070,0 days 00:16:46.950634,2048,0.9963924332421235,31,4,0.0008937823955130523,PRUNED
44,34633.00870634229,2025-05-12 03:51:52.660266,2025-05-12 04:15:14.043682,0 days 00:23:21.383416,2048,0.9979766746511095,43,3,0.0008101271653059555,COMPLETE
45,34646.10164427256,2025-05-12 04:15:14.045852,2025-05-12 04:44:22.780852,0 days 00:29:08.735000,2048,0.9981249844157074,49,3,0.0008752953934379159,COMPLETE
46,34647.34135156328,2025-05-12 04:44:22.784145,2025-05-12 04:59:29.268686,0 days 00:15:06.484541,2048,0.9989573825010771,43,2,0.00081762834558861,COMPLETE
47,34632.56389601039,2025-05-12 04:59:29.270943,2025-05-12 05:21:18.506403,0 days 00:21:49.235460,2048,0.9959371803644501,39,3,0.0009298815188459604,COMPLETE
48,34631.25392874355,2025-05-12 05:21:18.508873,2025-05-12 05:26:45.494067,0 days 00:05:26.985194,2048,0.9944794029361341,47,3,0.0009347393330018176,COMPLETE
49,34661.07837650751,2025-05-12 05:26:45.495422,2025-05-12 05:33:34.262487,0 days 00:06:48.767065,2048,0.9933979652695945,47,4,0.0009993931517650973,COMPLETE
