number,value,datetime_start,datetime_complete,duration,params_batch_size,params_decay,params_dual_lr,params_hidden_size_factor,params_n_layers,state
35,-28186.125854288483,2025-05-12 13:28:58.336932,2025-05-12 13:32:42.547634,0 days 00:03:44.210702,4096,0.9865440247383149,0.0008675099751518588,19,5,COMPLETE
36,-34538.02501733393,2025-05-12 13:32:42.548973,2025-05-12 13:48:39.225274,0 days 00:15:56.676301,2048,0.9877971362082678,0.0005526546726343357,23,6,COMPLETE
37,-34243.652046612515,2025-05-12 13:48:39.229399,2025-05-12 13:52:47.447886,0 days 00:04:08.218487,4096,0.9880570715897501,0.000541522664073955,34,6,COMPLETE
38,-28124.6918772238,2025-05-12 13:52:47.450581,2025-05-12 13:58:07.380101,0 days 00:05:19.929520,2048,0.9908018697656492,0.00017447187346634525,24,7,COMPLETE
39,-2250.6724945591573,2025-05-12 13:58:07.382819,2025-05-12 14:00:44.079065,0 days 00:02:36.696246,4096,0.9939125657683391,0.0003370780628970658,28,7,COMPLETE
40,-28170.169078695406,2025-05-12 14:00:44.081369,2025-05-12 14:03:55.195764,0 days 00:03:11.114395,2048,0.9929089762265024,0.0006171069242309803,39,2,COMPLETE
41,-34494.166813593925,2025-05-12 14:03:55.198172,2025-05-12 14:07:56.931530,0 days 00:04:01.733358,2048,0.9823293604264872,0.0006763814586795715,21,5,COMPLETE
42,-6894.515997272425,2025-05-12 14:07:56.934030,2025-05-12 14:12:17.841419,0 days 00:04:20.907389,2048,0.9857672139083808,0.0005247164204920101,17,6,COMPLETE
43,-2222.8625335457896,2025-05-12 14:12:17.843994,2025-05-12 14:16:24.668631,0 days 00:04:06.824637,2048,0.9842629023679504,0.0004376364056709452,29,5,COMPLETE
44,-34046.273523089556,2025-05-12 14:16:24.671206,2025-05-12 14:21:08.002042,0 days 00:04:43.330836,2048,0.9819791990393959,0.0007937877672030757,6,4,COMPLETE
45,-15914.209647320266,2025-05-12 14:21:08.004578,2025-05-12 14:27:20.463710,0 days 00:06:12.459132,2048,0.987226137726774,0.0005891305295147152,10,5,COMPLETE
46,-34491.255323199955,2025-05-12 14:27:20.466429,2025-05-12 14:31:48.874672,0 days 00:04:28.408243,2048,0.9881132647474962,0.0009684891177123831,32,3,COMPLETE
47,-2250.758999592002,2025-05-12 14:31:48.877240,2025-05-12 14:34:09.371382,0 days 00:02:20.494142,4096,0.9987567095510393,0.000334062707576322,24,6,COMPLETE
48,-34521.0258091104,2025-05-12 14:34:09.373659,2025-05-12 14:41:37.813010,0 days 00:07:28.439351,2048,0.9830512084950209,0.0008598439148762877,12,4,COMPLETE
49,-34457.07180786056,2025-05-12 14:41:37.816003,2025-05-12 14:47:24.698104,0 days 00:05:46.882101,2048,0.9807204251028349,0.0008619785260563563,2,3,COMPLETE
